loss,dropout,lr,window_seconds,seed,split_mode,val_frac,best_set_mae,smoothed_best_set_mae,best_epoch_smoothed,best_epoch_1se,metrics_epoch,epochs_run,set_acc_at_best,qwk_at_best,val_n,mae_argmax,acc_argmax,mae_median,acc_median,pred_loa0,pred_loa1,pred_loa2,pred_loa3,pred_loa4,const_set_mae,const_loa_mae,pdconst_set_mae,pdconst_set_acc,pdconst_oracle_set_mae,pdconst_n_drivers,init_set_mae
ce,0.15,0.001,10.0,0,within-driver,0.2,0.9515570934256056,0.9944636678200691,17,9,17,32,0.5224913494809689,0.5086912053742012,289,0.9515570934256056,0.5224913494809689,0.9653979238754326,0.48788927335640137,98.0,53.0,39.0,24.0,75.0,1.397923875432526,1.0,1.2006920415224913,0.33217993079584773,1.065743944636678,12.0,1.7162629757785468
ce,0.15,0.001,10.0,1,within-driver,0.2,0.9688581314878892,1.0041522491349482,21,21,21,44,0.4982698961937716,0.4477690336252411,289,1.0588235294117647,0.4982698961937716,1.055363321799308,0.4809688581314879,75.0,67.0,21.0,41.0,85.0,1.397923875432526,1.0,1.2006920415224913,0.33217993079584773,1.065743944636678,12.0,1.42560553633218
ce,0.15,0.001,10.0,2,within-driver,0.2,0.8996539792387543,1.0027681660899652,15,13,15,35,0.5570934256055363,0.5049571762263171,289,0.9134948096885813,0.5570934256055363,0.9550173010380623,0.5294117647058824,115.0,45.0,46.0,25.0,58.0,1.397923875432526,1.0,1.2006920415224913,0.33217993079584773,1.065743944636678,12.0,1.5397923875432526
ce,0.15,0.001,10.0,3,within-driver,0.2,0.9273356401384083,1.0256055363321797,28,11,28,51,0.4671280276816609,0.46013319413612463,289,1.055363321799308,0.4671280276816609,1.0519031141868511,0.4671280276816609,93.0,75.0,21.0,26.0,74.0,1.397923875432526,1.0,1.2006920415224913,0.33217993079584773,1.065743944636678,12.0,1.5951557093425606
ce,0.15,0.001,10.0,4,within-driver,0.2,0.903114186851211,0.9868512110726643,8,7,8,29,0.5847750865051903,0.5268125905830763,289,0.903114186851211,0.5847750865051903,0.8685121107266436,0.5467128027681661,130.0,28.0,40.0,13.0,78.0,1.397923875432526,1.0,1.2006920415224913,0.33217993079584773,1.065743944636678,12.0,1.9065743944636677
ce,0.1,0.001,10.0,0,within-driver,0.2,0.9411764705882353,1.0013840830449827,9,8,9,29,0.532871972318339,0.5320938660239585,289,0.9653979238754326,0.532871972318339,0.903114186851211,0.5121107266435986,114.0,27.0,33.0,33.0,82.0,1.397923875432526,1.0,1.2006920415224913,0.33217993079584773,1.065743944636678,12.0,1.7162629757785468
ce,0.1,0.001,10.0,1,within-driver,0.2,0.9100346020761245,0.9806228373702421,17,11,17,38,0.5259515570934256,0.5690877147117275,289,0.9100346020761245,0.5259515570934256,0.8788927335640139,0.5259515570934256,96.0,56.0,21.0,33.0,83.0,1.397923875432526,1.0,1.2006920415224913,0.33217993079584773,1.065743944636678,12.0,1.42560553633218
ce,0.1,0.001,10.0,2,within-driver,0.2,0.8996539792387543,0.9591695501730104,13,12,13,33,0.5224913494809689,0.460868553883371,289,0.9965397923875432,0.5224913494809689,1.0519031141868511,0.4671280276816609,109.0,50.0,31.0,37.0,62.0,1.397923875432526,1.0,1.2006920415224913,0.33217993079584773,1.065743944636678,12.0,1.5397923875432526
ce,0.1,0.001,10.0,3,within-driver,0.2,0.9065743944636678,0.9557093425605536,28,12,28,35,0.5536332179930796,0.4925228288345478,289,0.9515570934256056,0.5536332179930796,0.9584775086505191,0.5397923875432526,84.0,58.0,32.0,33.0,82.0,1.397923875432526,1.0,1.2006920415224913,0.33217993079584773,1.065743944636678,12.0,1.5951557093425606
ce,0.1,0.001,10.0,4,within-driver,0.2,0.9653979238754326,1.027681660899654,24,23,24,43,0.4913494809688581,0.4657099002962307,289,1.065743944636678,0.4913494809688581,1.0242214532871972,0.4982698961937716,98.0,53.0,27.0,14.0,97.0,1.397923875432526,1.0,1.2006920415224913,0.33217993079584773,1.065743944636678,12.0,1.9065743944636677
