pid,k,variant,fit_on,set_mae,set_acc,n_val,n_support,n_functions_seen,n_fallback,mean_cell_rows,set_mae_tail,set_acc_tail,n_val_tail
009,60,driver_function,support,0.05405405405405406,0.9459459459459459,74,60,5,0,12.0,nan,nan,0
010,5,driver_function,support,0.008130081300813009,0.991869918699187,123,5,4,27,1.25,nan,nan,0
010,10,driver_function,support,0.00847457627118644,0.9915254237288136,118,10,5,0,2.0,nan,nan,0
010,20,driver_function,support,0.009259259259259259,0.9907407407407407,108,20,5,0,4.0,nan,nan,0
010,30,driver_function,support,0.0,1.0,98,30,5,0,6.0,nan,nan,0
010,40,driver_function,support,0.0,1.0,88,40,5,0,8.0,nan,nan,0
010,50,driver_function,support,0.0,1.0,78,50,5,0,10.0,nan,nan,0
010,60,driver_function,support,0.0,1.0,68,60,5,0,12.0,nan,nan,0
011,5,driver_function,support,1.945945945945946,0.12612612612612611,111,5,3,55,1.6666666666666667,nan,nan,0
011,10,driver_function,support,1.679245283018868,0.25471698113207547,106,10,4,32,2.5,nan,nan,0
011,20,driver_function,support,0.7395833333333334,0.6354166666666666,96,20,5,0,4.0,nan,nan,0
011,30,driver_function,support,0.2441860465116279,0.8023255813953488,86,30,5,0,6.0,nan,nan,0
011,40,driver_function,support,0.27631578947368424,0.7763157894736842,76,40,5,0,8.0,nan,nan,0
011,50,driver_function,support,0.3181818181818182,0.7424242424242424,66,50,5,0,10.0,nan,nan,0
011,60,driver_function,support,0.3392857142857143,0.7321428571428571,56,60,5,0,12.0,nan,nan,0
012,5,driver_function,support,1.1261261261261262,0.3153153153153153,111,5,4,30,1.25,nan,nan,0
012,10,driver_function,support,1.4339622641509433,0.22641509433962265,106,10,5,0,2.0,nan,nan,0
012,20,driver_function,support,1.3229166666666667,0.2708333333333333,96,20,5,0,4.0,nan,nan,0
012,30,driver_function,support,1.3488372093023255,0.1744186046511628,86,30,5,0,6.0,nan,nan,0
012,40,driver_function,support,0.7894736842105263,0.32894736842105265,76,40,5,0,8.0,nan,nan,0
012,50,driver_function,support,0.6515151515151515,0.48484848484848486,66,50,5,0,10.0,nan,nan,0
012,60,driver_function,support,0.625,0.5178571428571429,56,60,5,0,12.0,nan,nan,0
001,5,driver_function_fcd,support,1.2521008403361344,0.48739495798319327,119,5,4,27,1.25,nan,nan,0
001,10,driver_function_fcd,support,1.3070175438596492,0.4649122807017544,114,10,5,0,2.0,nan,nan,0
001,20,driver_function_fcd,support,1.4134615384615385,0.4326923076923077,104,20,5,0,4.0,nan,nan,0
001,30,driver_function_fcd,support,1.5319148936170213,0.40425531914893614,94,30,5,0,6.0,nan,nan,0
001,40,driver_function_fcd,support,1.6904761904761905,0.35714285714285715,84,40,5,0,8.0,nan,nan,0
001,50,driver_function_fcd,support,1.662162162162162,0.36486486486486486,74,50,5,0,10.0,nan,nan,0
001,60,driver_function_fcd,support,1.265625,0.421875,64,60,5,0,12.0,nan,nan,0
002,5,driver_function_fcd,support,0.8089887640449438,0.6292134831460674,89,5,4,11,1.25,nan,nan,0
